Face Shape,Skin Color,Body Shape,Outfits,Accessories,Suitable Colors,
Heart,Brown,Inverted Triangle,"Fitted polos, skinny jeans, bomber jackets, turtlenecks, high-top sneakers","Minimalist watches, baseball caps, leather backpacks","Black, grey, burgundy",
Heart,Brown,Trapezoid,"Slim-fit dress shirts, straight-leg chinos, light knitwear, sports jackets, Chelsea boots","Pocket squares, cufflinks, slim wallets","Navy blue, forest green, charcoal",
Heart,Dark Brown,Rectangle,"Henley shirts, slim-fit chinos, denim jackets, crew neck sweaters, desert boots","Leather belts, aviator sunglasses, minimalist watches","Light blue, beige, navy",
Heart,Dark Brown,Oval,"Casual button-downs, slim-fit jeans, lightweight blazers, knit pullovers, loafers","Leather bracelets, wayfarer sunglasses, dress watches","Olive green, maroon, cream",
Heart,Dark Brown,Triangle,"Tailored blazers with shoulder padding, V-neck shirts, tapered pants, quilted jackets, lace-up boots","Bold ties, statement watches, leather wallets","Dark brown, mustard, teal",
Heart,Dark Brown,Inverted Triangle,"Fitted polos, skinny jeans, bomber jackets, turtlenecks, high-top sneakers","Minimalist watches, baseball caps, leather backpacks","Black, grey, burgundy",
Heart,Dark Brown,Trapezoid,"Slim-fit dress shirts, straight-leg chinos, light knitwear, sports jackets, Chelsea boots","Pocket squares, cufflinks, slim wallets","Navy blue, forest green, charcoal",
Oval,Fair,Rectangle,"Slim-fit suits, button-down shirts, straight-leg trousers, crew neck sweaters, loafers","Leather belts, dress watches, silk ties","Light blue, grey, navy",
Oval,Fair,Oval,"Casual blazers, fitted polos, dark wash jeans, knit pullovers, Chelsea boots","Minimalist watches, leather bracelets, pocket squares","Olive green, maroon, cream",
Oval,Fair,Triangle,"Double-breasted blazers, spread collar shirts, pleated trousers, layered tops, Oxford shoes","Tie bars, leather gloves, statement watches","Dark brown, mustard, teal",
Oval,Fair,Inverted Triangle,"Fitted T-shirts, skinny jeans, light jackets, V-neck sweaters, casual sneakers","Baseball caps, aviator sunglasses, casual backpacks","Black, grey, burgundy",
Oval,Fair,Trapezoid,"Tailored sport coats, slim-fit chinos, crew neck sweaters, casual button-downs, casual sneakers","Leather belts, classic wristwatches, pocket squares","Navy blue, forest green, charcoal",
Oval,Wheatish,Rectangle,"Slim-fit suits, button-down shirts, straight-leg trousers, crew neck sweaters, loafers","Leather belts, dress watches, silk ties","Light blue, grey, navy",
Oval,Wheatish,Oval,"Casual blazers, fitted polos, dark wash jeans, knit pullovers, Chelsea boots","Minimalist watches, leather bracelets, pocket squares","Olive green, maroon, cream",
Oval,Wheatish,Triangle,"Double-breasted blazers, spread collar shirts, pleated trousers, layered tops, Oxford shoes","Tie bars, leather gloves, statement watches","Dark brown, mustard, teal",
Oval,Wheatish,Inverted Triangle,"Fitted T-shirts, skinny jeans, light jackets, V-neck sweaters, casual sneakers","Baseball caps, aviator sunglasses, casual backpacks","Black, grey, burgundy",
Oval,Wheatish,Trapezoid,"Tailored sport coats, slim-fit chinos, crew neck sweaters, casual button-downs, casual sneakers","Leather belts, classic wristwatches, pocket squares","Navy blue, forest green, charcoal",
Oval,Medium Brown,Rectangle,"Slim-fit suits, button-down shirts, straight-leg trousers, crew neck sweaters, loafers","Leather belts, dress watches, silk ties","Light blue, grey, navy",
Oval,Medium Brown,Oval,"Casual blazers, fitted polos, dark wash jeans, knit pullovers, Chelsea boots","Minimalist watches, leather bracelets, pocket squares","Olive green, maroon, cream",
Oval,Medium Brown,Triangle,"Double-breasted blazers, spread collar shirts, pleated trousers, layered tops, Oxford shoes","Tie bars, leather gloves, statement watches","Dark brown, mustard, teal",
Oval,Medium Brown,Inverted Triangle,"Fitted T-shirts, skinny jeans, light jackets, V-neck sweaters, casual sneakers","Baseball caps, aviator sunglasses, casual backpacks","Black, grey, burgundy",
Oval,Medium Brown,Trapezoid,"Tailored sport coats, slim-fit chinos, crew neck sweaters, casual button-downs, casual sneakers","Leather belts, classic wristwatches, pocket squares","Navy blue, forest green, charcoal",
Oval,Brown,Rectangle,"Slim-fit suits, button-down shirts, straight-leg trousers, crew neck sweaters, loafers","Leather belts, dress watches, silk ties","Light blue, grey, navy",
Oval,Brown,Oval,"Casual blazers, fitted polos, dark wash jeans, knit pullovers, Chelsea boots","Minimalist watches, leather bracelets, pocket squares","Olive green, maroon, cream",
Oval,Brown,Triangle,"Double-breasted blazers, spread collar shirts, pleated trousers, layered tops, Oxford shoes","Tie bars, leather gloves, statement watches","Dark brown, mustard, teal",
Oval,Brown,Inverted Triangle,"Fitted T-shirts, skinny jeans, light jackets, V-neck sweaters, casual sneakers","Baseball caps, aviator sunglasses, casual backpacks","Black, grey, burgundy",
Oval,Brown,Trapezoid,"Tailored sport coats, slim-fit chinos, crew neck sweaters, casual button-downs, casual sneakers","Leather belts, classic wristwatches, pocket squares","Navy blue, forest green, charcoal",
Oval,Dark Brown,Rectangle,"Slim-fit suits, button-down shirts, straight-leg trousers, crew neck sweaters, loafers","Leather belts, dress watches, silk ties","Light blue, grey, navy",
Oval,Dark Brown,Oval,"Casual blazers, fitted polos, dark wash jeans, knit pullovers, Chelsea boots","Minimalist watches, leather bracelets, pocket squares","Olive green, maroon, cream",
Oval,Dark Brown,Triangle,"Double-breasted blazers, spread collar shirts, pleated trousers, layered tops, Oxford shoes","Tie bars, leather gloves, statement watches","Dark brown, mustard, teal",
Oval,Dark Brown,Inverted Triangle,"Fitted T-shirts, skinny jeans, light jackets, V-neck sweaters, casual sneakers","Baseball caps, aviator sunglasses, casual backpacks","Black, grey, burgundy",
Oval,Dark Brown,Trapezoid,"Tailored sport coats, slim-fit chinos, crew neck sweaters, casual button-downs, casual sneakers","Leather belts, classic wristwatches, pocket squares","Navy blue, forest green, charcoal",
Round,Fair,Rectangle,"Single-breasted blazers, vertical striped shirts, straight-leg trousers, V-neck sweaters, brogues","Narrow ties, slim belts, simple watches","Dark blue, charcoal, burgundy",
Round,Fair,Oval,"Casual blazers, button-down shirts, dark wash jeans, crew neck sweaters, desert boots","Leather bracelets, minimalist watches, pocket squares","Olive green, navy, cream",
Round,Fair,Triangle,"Slim-fit blazers, fitted dress shirts, tapered trousers, layered tops, dress shoes","Leather gloves, tie bars, statement watches","Brown, mustard, teal",
Round,Fair,Inverted Triangle,"V-neck T-shirts, slim-fit jeans, bomber jackets, cardigans, casual sneakers","Baseball caps, aviator sunglasses, casual backpacks","Black, grey, dark green",
Round,Fair,Trapezoid,"Fitted sport coats, slim-fit chinos, crew neck sweaters, casual button-downs, loafers","Classic wristwatches, leather belts, patterned scarves","Navy blue, forest green, beige",
Round,Wheatish,Rectangle,"Single-breasted blazers, vertical striped shirts, straight-leg trousers, V-neck sweaters, brogues","Narrow ties, slim belts, simple watches","Dark blue, charcoal, burgundy",
Round,Wheatish,Oval,"Casual blazers, button-down shirts, dark wash jeans, crew neck sweaters, desert boots","Leather bracelets, minimalist watches, pocket squares","Olive green, navy, cream",
Round,Wheatish,Triangle,"Slim-fit blazers, fitted dress shirts, tapered trousers, layered tops, dress shoes","Leather gloves, tie bars, statement watches","Brown, mustard, teal",
Round,Wheatish,Inverted Triangle,"V-neck T-shirts, slim-fit jeans, bomber jackets, cardigans, casual sneakers","Baseball caps, aviator sunglasses, casual backpacks","Black, grey, dark green",
Round,Wheatish,Trapezoid,"Fitted sport coats, slim-fit chinos, crew neck sweaters, casual button-downs, loafers","Classic wristwatches, leather belts, patterned scarves","Navy blue, forest green, beige",
Round,Medium Brown,Rectangle,"Single-breasted blazers, vertical striped shirts, straight-leg trousers, V-neck sweaters, brogues","Narrow ties, slim belts, simple watches","Dark blue, charcoal, burgundy",
Round,Medium Brown,Oval,"Casual blazers, button-down shirts, dark wash jeans, crew neck sweaters, desert boots","Leather bracelets, minimalist watches, pocket squares","Olive green, navy, cream",
Round,Medium Brown,Triangle,"Slim-fit blazers, fitted dress shirts, tapered trousers, layered tops, dress shoes","Leather gloves, tie bars, statement watches","Brown, mustard, teal",
Round,Medium Brown,Inverted Triangle,"V-neck T-shirts, slim-fit jeans, bomber jackets, cardigans, casual sneakers","Baseball caps, aviator sunglasses, casual backpacks","Black, grey, dark green",
Round,Medium Brown,Trapezoid,"Fitted sport coats, slim-fit chinos, crew neck sweaters, casual button-downs, loafers","Classic wristwatches, leather belts, patterned scarves","Navy blue, forest green, beige",
Round,Brown,Rectangle,"Single-breasted blazers, vertical striped shirts, straight-leg trousers, V-neck sweaters, brogues","Narrow ties, slim belts, simple watches","Dark blue, charcoal, burgundy",
Round,Brown,Oval,"Casual blazers, button-down shirts, dark wash jeans, crew neck sweaters, desert boots","Leather bracelets, minimalist watches, pocket squares","Olive green, navy, cream",
Round,Brown,Triangle,"Slim-fit blazers, fitted dress shirts, tapered trousers, layered tops, dress shoes","Leather gloves, tie bars, statement watches","Brown, mustard, teal",
Round,Brown,Inverted Triangle,"V-neck T-shirts, slim-fit jeans, bomber jackets, cardigans, casual sneakers","Baseball caps, aviator sunglasses, casual backpacks","Black, grey, dark green",
Round,Brown,Trapezoid,"Fitted sport coats, slim-fit chinos, crew neck sweaters, casual button-downs, loafers","Classic wristwatches, leather belts, patterned scarves","Navy blue, forest green, beige",
Round,Dark Brown,Rectangle,"Single-breasted blazers, vertical striped shirts, straight-leg trousers, V-neck sweaters, brogues","Narrow ties, slim belts, simple watches","Dark blue, charcoal, burgundy",
Round,Dark Brown,Oval,"Casual blazers, button-down shirts, dark wash jeans, crew neck sweaters, desert boots","Leather bracelets, minimalist watches, pocket squares","Olive green, navy, cream",
Round,Dark Brown,Triangle,"Slim-fit blazers, fitted dress shirts, tapered trousers, layered tops, dress shoes","Leather gloves, tie bars, statement watches","Brown, mustard, teal",
Round,Dark Brown,Inverted Triangle,"V-neck T-shirts, slim-fit jeans, bomber jackets, cardigans, casual sneakers","Baseball caps, aviator sunglasses, casual backpacks","Black, grey, dark green",
Round,Dark Brown,Trapezoid,"Fitted sport coats, slim-fit chinos, crew neck sweaters, casual button-downs, loafers","Classic wristwatches, leather belts, patterned scarves","Navy blue, forest green, beige",
Square,Fair,Rectangle,"Single-breasted blazers, vertical striped shirts, slim-fit trousers, V-neck sweaters, loafers","Slim belts, minimalist watches, silk ties","Dark blue, grey, burgundy",
Square,Fair,Oval,"Casual blazers, fitted polos, dark wash jeans, crew neck sweaters, Chelsea boots","Leather bracelets, simple watches, pocket squares","Olive green, navy, cream",
Square,Fair,Triangle,"Slim-fit blazers, spread collar shirts, tapered trousers, layered tops, brogues","Leather gloves, tie bars, statement watches","Brown, mustard, teal",
Square,Fair,Inverted Triangle,"Fitted T-shirts, slim-fit jeans, bomber jackets, cardigans, casual sneakers","Baseball caps, aviator sunglasses, casual backpacks","Black, grey, dark green",
Square,Fair,Trapezoid,"Tailored sport coats, slim-fit chinos, crew neck sweaters, casual button-downs, loafers","Classic wristwatches, leather belts, patterned scarves","Navy blue, forest green, beige",
Square,Wheatish,Rectangle,"Single-breasted blazers, vertical striped shirts, slim-fit trousers, V-neck sweaters, loafers","Slim belts, minimalist watches, silk ties","Dark blue, grey, burgundy",
Square,Wheatish,Oval,"Casual blazers, fitted polos, dark wash jeans, crew neck sweaters, Chelsea boots","Leather bracelets, simple watches, pocket squares","Olive green, navy, cream",
Square,Wheatish,Triangle,"Slim-fit blazers, spread collar shirts, tapered trousers, layered tops, brogues","Leather gloves, tie bars, statement watches","Brown, mustard, teal",
Square,Wheatish,Inverted Triangle,"Fitted T-shirts, slim-fit jeans, bomber jackets, cardigans, casual sneakers","Baseball caps, aviator sunglasses, casual backpacks","Black, grey, dark green",
Square,Wheatish,Trapezoid,"Tailored sport coats, slim-fit chinos, crew neck sweaters, casual button-downs, loafers","Classic wristwatches, leather belts, patterned scarves","Navy blue, forest green, beige",
Square,Medium Brown,Rectangle,"Single-breasted blazers, vertical striped shirts, slim-fit trousers, V-neck sweaters, loafers","Slim belts, minimalist watches, silk ties","Dark blue, grey, burgundy",
Square,Medium Brown,Oval,"Casual blazers, fitted polos, dark wash jeans, crew neck sweaters, Chelsea boots","Leather bracelets, simple watches, pocket squares","Olive green, navy, cream",
Square,Medium Brown,Triangle,"Slim-fit blazers, spread collar shirts, tapered trousers, layered tops, brogues","Leather gloves, tie bars, statement watches","Brown, mustard, teal",
Square,Medium Brown,Inverted Triangle,"Fitted T-shirts, slim-fit jeans, bomber jackets, cardigans, casual sneakers","Baseball caps, aviator sunglasses, casual backpacks","Black, grey, dark green",
Square,Medium Brown,Trapezoid,"Tailored sport coats, slim-fit chinos, crew neck sweaters, casual button-downs, loafers","Classic wristwatches, leather belts, patterned scarves","Navy blue, forest green, beige",
Square,Brown,Rectangle,"Single-breasted blazers, vertical striped shirts, slim-fit trousers, V-neck sweaters, loafers","Slim belts, minimalist watches, silk ties","Dark blue, grey, burgundy",
Square,Brown,Oval,"Casual blazers, fitted polos, dark wash jeans, crew neck sweaters, Chelsea boots","Leather bracelets, simple watches, pocket squares","Olive green, navy, cream",
Square,Brown,Triangle,"Slim-fit blazers, spread collar shirts, tapered trousers, layered tops, brogues","Leather gloves, tie bars, statement watches","Brown, mustard, teal",
Square,Brown,Inverted Triangle,"Fitted T-shirts, slim-fit jeans, bomber jackets, cardigans, casual sneakers","Baseball caps, aviator sunglasses, casual backpacks","Black, grey, dark green",
Square,Brown,Trapezoid,"Tailored sport coats, slim-fit chinos, crew neck sweaters, casual button-downs, loafers","Classic wristwatches, leather belts, patterned scarves","Navy blue, forest green, beige",
Square,Dark Brown,Rectangle,"Single-breasted blazers, vertical striped shirts, slim-fit trousers, V-neck sweaters, loafers","Slim belts, minimalist watches, silk ties","Dark blue, grey, burgundy",
Square,Dark Brown,Oval,"Casual blazers, fitted polos, dark wash jeans, crew neck sweaters, Chelsea boots","Leather bracelets, simple watches, pocket squares","Olive green, navy, cream",
Square,Dark Brown,Triangle,"Slim-fit blazers, spread collar shirts, tapered trousers, layered tops, brogues","Leather gloves, tie bars, statement watches","Brown, mustard, teal",
Square,Dark Brown,Inverted Triangle,"Fitted T-shirts, slim-fit jeans, bomber jackets, cardigans, casual sneakers","Baseball caps, aviator sunglasses, casual backpacks","Black, grey, dark green",
Square,Dark Brown,Trapezoid,"Tailored sport coats, slim-fit chinos, crew neck sweaters, casual button-downs, loafers","Classic wristwatches, leather belts, patterned scarves","Navy blue, forest green, beige",
Oblong,Fair,Rectangle,"Double-breasted blazers, horizontal striped shirts, slim-fit trousers, cardigans, dress shoes","Bow ties, pocket squares, statement watches","Light blue, navy, beige",
Oblong,Fair,Oval,"Casual blazers, Henley shirts, dark wash jeans, V-neck sweaters, loafers","Round sunglasses, leather belts, minimalist watches","Olive green, maroon, cream",
Oblong,Fair,Triangle,"Structured blazers, patterned dress shirts, tapered trousers, layered tops, dress shoes","Statement watches, leather belts, lapel pins","Dark brown, mustard, teal",
Oblong,Fair,Inverted Triangle,"Slim-fit T-shirts, skinny jeans, light jackets, V-neck sweaters, high-top sneakers","Baseball caps, minimalist watches, casual backpacks","Black, grey, burgundy",
Oblong,Fair,Trapezoid,"Slim-fit sport coats, slim-fit chinos, crew neck sweaters, casual button-downs, casual sneakers","Leather belts, classic wristwatches, pocket squares","Navy blue, forest green, charcoal",
Oblong,Wheatish,Rectangle,"Double-breasted blazers, horizontal striped shirts, slim-fit trousers, cardigans, dress shoes","Bow ties, pocket squares, statement watches","Light blue, navy, beige",
Oblong,Wheatish,Oval,"Casual blazers, Henley shirts, dark wash jeans, V-neck sweaters, loafers","Round sunglasses, leather belts, minimalist watches","Olive green, maroon, cream",
Oblong,Wheatish,Triangle,"Structured blazers, patterned dress shirts, tapered trousers, layered tops, dress shoes","Statement watches, leather belts, lapel pins","Dark brown, mustard, teal",
Oblong,Wheatish,Inverted Triangle,"Slim-fit T-shirts, skinny jeans, light jackets, V-neck sweaters, high-top sneakers","Baseball caps, minimalist watches, casual backpacks","Black, grey, burgundy",
Oblong,Wheatish,Trapezoid,"Slim-fit sport coats, slim-fit chinos, crew neck sweaters, casual button-downs, casual sneakers","Leather belts, classic wristwatches, pocket squares","Navy blue, forest green, charcoal",
Oblong,Medium Brown,Rectangle,"Double-breasted blazers, horizontal striped shirts, slim-fit trousers, cardigans, dress shoes","Bow ties, pocket squares, statement watches","Light blue, navy, beige",
Oblong,Medium Brown,Oval,"Casual blazers, Henley shirts, dark wash jeans, V-neck sweaters, loafers","Round sunglasses, leather belts, minimalist watches","Olive green, maroon, cream",
Oblong,Medium Brown,Triangle,"Structured blazers, patterned dress shirts, tapered trousers, layered tops, dress shoes","Statement watches, leather belts, lapel pins","Dark brown, mustard, teal",
Oblong,Medium Brown,Inverted Triangle,"Slim-fit T-shirts, skinny jeans, light jackets, V-neck sweaters, high-top sneakers","Baseball caps, minimalist watches, casual backpacks","Black, grey, burgundy",
Oblong,Medium Brown,Trapezoid,"Slim-fit sport coats, slim-fit chinos, crew neck sweaters, casual button-downs, casual sneakers","Leather belts, classic wristwatches, pocket squares","Navy blue, forest green, charcoal",
Oblong,Brown,Rectangle,"Double-breasted blazers, horizontal striped shirts, slim-fit trousers, cardigans, dress shoes","Bow ties, pocket squares, statement watches","Light blue, navy, beige",
Oblong,Brown,Oval,"Casual blazers, Henley shirts, dark wash jeans, V-neck sweaters, loafers","Round sunglasses, leather belts, minimalist watches","Olive green, maroon, cream",
Oblong,Brown,Triangle,"Structured blazers, patterned dress shirts, tapered trousers, layered tops, dress shoes","Statement watches, leather belts, lapel pins","Dark brown, mustard, teal",
Oblong,Brown,Inverted Triangle,"Slim-fit T-shirts, skinny jeans, light jackets, V-neck sweaters, high-top sneakers","Baseball caps, minimalist watches, casual backpacks","Black, grey, burgundy",
Oblong,Brown,Trapezoid,"Slim-fit sport coats, slim-fit chinos, crew neck sweaters, casual button-downs, casual sneakers","Leather belts, classic wristwatches, pocket squares","Navy blue, forest green, charcoal",
Oblong,Dark Brown,Rectangle,"Double-breasted blazers, horizontal striped shirts, slim-fit trousers, cardigans, dress shoes","Bow ties, pocket squares, statement watches","Light blue, navy, beige",
Oblong,Dark Brown,Oval,"Casual blazers, Henley shirts, dark wash jeans, V-neck sweaters, loafers","Round sunglasses, leather belts, minimalist watches","Olive green, maroon, cream",
Oblong,Dark Brown,Triangle,"Structured blazers, patterned dress shirts, tapered trousers, layered tops, dress shoes","Statement watches, leather belts, lapel pins","Dark brown, mustard, teal",
Oblong,Dark Brown,Inverted Triangle,"Slim-fit T-shirts, skinny jeans, light jackets, V-neck sweaters, high-top sneakers","Baseball caps, minimalist watches, casual backpacks","Black, grey, burgundy",
Oblong,Dark Brown,Trapezoid,"Slim-fit sport coats, slim-fit chinos, crew neck sweaters, casual button-downs, casual sneakers","Leather belts, classic wristwatches, pocket squares","Navy blue, forest green, charcoal",
